Topic ID,CLD Score,,,,,,,
302,0.097,,,,,,,
1926,0.088,,,,,,,
1210,0.084,,,,,,,
76,0.084,,,,,,,
691,0.083,,,,,,,
781,0.082,,,,,,,
1037,0.081,,,,,,,
225,0.08,,,,,,,
387,0.08,,,,,,,
658,0.078,,,,,,,
392,0.075,,,,,,,
1324,0.074,,,,,,,
62,0.073,,,,,,,
479,0.071,,,,,,,
1686,0.071,,,,,,,
1415,0.07,,,,,,,
1377,0.067,,,,,,,
649,0.066,,,,,,,
914,0.064,,,,,,,
283,0.063,,,,,,,
356,0.063,,,,,,,
1630,0.062,,,,,,,
1229,0.061,,,,,,,
1795,0.061,,,,,,,
1439,0.059,,,,,,,
1483,0.059,,,,,,,
667,0.058,,,,,,,
1073,0.056,,,,,,,
308,0.055,,,,,,,
1004,0.055,,,,,,,
167,0.055,,,,,,,
878,0.055,,,,,,,
1303,0.055,,,,,,,
252,0.055,,,,,,,
361,0.055,,,,,,,
260,0.054,,,,,,,
1219,0.053,,,,,,,
38,0.053,,,,,,,
1596,0.053,,,,,,,
1285,0.053,,,,,,,
577,0.053,,,,,,,
350,0.053,,,,,,,
1818,0.053,,,,,,,
533,0.052,,,,,,,
1664,0.052,,,,,,,
221,0.052,,,,,,,
306,0.052,,,,,,,
1330,0.051,,,,,,,
1336,0.051,,,,,,,
798,0.051,,,,,,,
1191,0.051,,,,,,,
1880,0.051,,,,,,,
650,0.05,,,,,,,
1194,0.05,,,,,,,
923,0.05,,,,,,,
1179,0.05,,,,,,,
460,0.049,,,,,,,
1380,0.049,,,,,,,
866,0.049,,,,,,,
752,0.048,,,,,,,
41,0.048,,,,,,,
716,0.048,,,,,,,
699,0.048,,,,,,,
754,0.048,,,,,,,
1173,0.048,,,,,,,
1645,0.048,,,,,,,
888,0.048,,,,,,,
411,0.047,,,,,,,
1928,0.047,,,,,,,
1883,0.047,,,,,,,
1312,0.047,,,,,,,
80,0.046,,,,,,,
1474,0.046,,,,,,,
520,0.046,,,,,,,
1753,0.046,,,,,,,
102,0.046,,,,,,,
744,0.045,,,,,,,
1990,0.045,,,,,,,
800,0.045,,,,,,,
1554,0.045,,,,,,,
1244,0.044,,,,,,,
585,0.044,,,,,,,
1435,0.044,,,,,,,
1033,0.044,,,,,,,
357,0.044,,,,,,,
922,0.044,,,,,,,
997,0.044,,,,,,,
1715,0.044,,,,,,,
1964,0.043,,,,,,,
1569,0.043,,,,,,,
496,0.043,,,,,,,
469,0.043,,,,,,,
1869,0.043,,,,,,,
353,0.043,,,,,,,
1763,0.043,,,,,,,
916,0.043,,,,,,,
543,0.042,,,,,,,
1080,0.042,,,,,,,
141,0.042,,,,,,,
1604,0.042,,,,,,,
14,0.042,,,,,,,
709,0.042,,,,,,,
71,0.042,,,,,,,
1965,0.041,,,,,,,
1529,0.041,,,,,,,
1572,0.041,,,,,,,
1974,0.041,,,,,,,
1542,0.04,,,,,,,
1983,0.04,,,,,,,
636,0.04,,,,,,,
305,0.04,,,,,,,
789,0.04,,,,,,,
1793,0.04,,,,,,,
1124,0.04,,,,,,,
984,0.039,,,,,,,
560,0.039,,,,,,,
1099,0.039,,,,,,,
1057,0.039,,,,,,,
554,0.039,,,,,,,
696,0.039,,,,,,,
285,0.039,,,,,,,
1011,0.039,,,,,,,
341,0.039,,,,,,,
178,0.038,,,,,,,
509,0.038,,,,,,,
1979,0.038,,,,,,,
498,0.038,,,,,,,
1270,0.038,,,,,,,
1114,0.038,,,,,,,
1027,0.038,,,,,,,
284,0.038,,,,,,,
144,0.037,,,,,,,
1393,0.037,,,,,,,
181,0.037,,,,,,,
45,0.037,,,,,,,
513,0.037,,,,,,,
351,0.037,,,,,,,
1327,0.037,,,,,,,
535,0.037,,,,,,,
1078,0.036,,,,,,,
458,0.036,,,,,,,
472,0.036,,,,,,,
668,0.036,,,,,,,
1050,0.036,,,,,,,
926,0.036,,,,,,,
1622,0.036,,,,,,,
1334,0.036,,,,,,,
1498,0.036,,,,,,,
1960,0.036,,,,,,,
702,0.035,,,,,,,
